CustomerID,CustomerName,Address,PhoneNumber,Email,Notes,VehicleTypeName,LicensePlate
1,Customer 1,"Nguyen Cong Tru, City",0713835327,customer1@example.com,Regular customer,Sedan,HVO-5586
2,Customer 2,"Duong Nguyen Hue, City",0297734660,customer2@example.com,Regular customer,Pickup Truck,GUK-1246
3,Customer 3,"Phan Van Tri, City",0830444460,customer3@example.com,Regular customer,Motorcycle 50cc,SRZ-9715
4,Customer 4,"Nguyen Hue, City",0921031369,customer4@example.com,Regular customer,Motorcycle 110cc,IAK-2233
5,Customer 5,"Nguyen Cong Tru, City",0843784783,customer5@example.com,Regular customer,Motorcycle 250cc,AFY-4289
6,Customer 6,"Duong Dien Bien Phu, City",0988417604,customer6@example.com,Regular customer,Light Truck,GIG-3662
7,Customer 7,"An Duong Vuong, City",0217016611,customer7@example.com,Regular customer,Motorcycle 50cc,OLK-2437
8,Customer 8,"Nguyen Tat Thanh, City",0715809869,customer8@example.com,Regular customer,Pickup Truck,YBP-1670
9,Customer 9,"Xa Lo Ha Noi, City",0997369486,customer9@example.com,Regular customer,Motorcycle 250cc,MRG-7933
10,Customer 10,"Vo Van Ngan, City",0843016381,customer10@example.com,Regular customer,SUV,HWR-9248
11,Customer 11,"Duong Pham Ngoc Thach, City",0854327593,customer11@example.com,Regular customer,Motorcycle 50cc,ZNW-2419
12,Customer 12,"Duong Pasteur, City",0348240012,customer12@example.com,Regular customer,Motorcycle 150cc,BBM-8408
13,Customer 13,"Duong Hai Ba Trung, City",0295954417,customer13@example.com,Regular customer,Pickup Truck,UUG-3971
14,Customer 14,"Xo Viet Nghe Tinh, City",0834448837,customer14@example.com,Regular customer,Motorcycle 250cc,ZES-4033
15,Customer 15,"Xa Lo Ha Noi, City",0183619754,customer15@example.com,Regular customer,Motorcycle 150cc,UDK-0705
16,Customer 16,"Ha Huy Giap, City",0583854762,customer16@example.com,Regular customer,Motorcycle 110cc,IED-1122
17,Customer 17,"Le Van Sy, City",0149749163,customer17@example.com,Regular customer,Motorcycle 150cc,WXB-5454
18,Customer 18,"Nguyen Dinh Chieu, City",0837593238,customer18@example.com,Regular customer,Motorcycle 125cc,KUL-4465
19,Customer 19,"Nguyen Dinh Chieu, City",0719549113,customer19@example.com,Regular customer,Motorcycle 250cc,IEG-5598
20,Customer 20,"Duong Nguyen Tri Phuong, City",0798669990,customer20@example.com,Regular customer,SUV,WBS-2711
21,Customer 21,"Ton Duc Thang, City",0953431705,customer21@example.com,Regular customer,Sedan,MEM-8527
22,Customer 22,"Duong Le Van Sy, City",0470680081,customer22@example.com,Regular customer,Motorcycle 250cc,SDN-8745
23,Customer 23,"Pham Van Dong, City",0339718852,customer23@example.com,Regular customer,SUV,BZN-7975
24,Customer 24,"Duong Pasteur, City",0674138594,customer24@example.com,Regular customer,Motorcycle 250cc,HOP-6957
25,Customer 25,"Nguyen Thi Thap, City",0560552918,customer25@example.com,Regular customer,Motorcycle 125cc,WTQ-5516
26,Customer 26,"Nguyen Hue, City",0716517835,customer26@example.com,Regular customer,Motorcycle 110cc,VUH-6465
27,Customer 27,"Vo Van Ngan, City",0350060950,customer27@example.com,Regular customer,Pickup Truck,DWM-3595
28,Customer 28,"Duong Vo Thi Sau, City",0263843461,customer28@example.com,Regular customer,Motorcycle 50cc,SHW-9692
29,Customer 29,"Ton Duc Thang, City",0158067928,customer29@example.com,Regular customer,SUV,VFY-3211
30,Customer 30,"Duong Ton Duc Thang, City",0416308336,customer30@example.com,Regular customer,Motorcycle 50cc,MPA-9284
31,Customer 31,"Ky Con, City",0143072310,customer31@example.com,Regular customer,Motorcycle 150cc,OAZ-2334
32,Customer 32,"Nguyen Van Cu, City",0690359590,customer32@example.com,Regular customer,Motorcycle 50cc,HUL-1461
33,Customer 33,"Xo Viet Nghe Tinh, City",0958179830,customer33@example.com,Regular customer,Motorcycle 50cc,VGD-1749
34,Customer 34,"Duong Le Van Sy, City",0382202987,customer34@example.com,Regular customer,Light Truck,GWS-8645
35,Customer 35,"Le Lai, City",0291093671,customer35@example.com,Regular customer,Motorcycle 125cc,CBT-5342
36,Customer 36,"Duong Nguyen Huu Canh, City",0107551574,customer36@example.com,Regular customer,Pickup Truck,ABS-0761
37,Customer 37,"Duong Le Loi, City",0534357962,customer37@example.com,Regular customer,Pickup Truck,OKS-5014
38,Customer 38,"Duong Bui Vien, City",0810659481,customer38@example.com,Regular customer,Pickup Truck,JQN-4214
39,Customer 39,"Le Van Khuong, City",0216939434,customer39@example.com,Regular customer,Light Truck,CSM-4866
40,Customer 40,"Duong Nguyen Binh Khiem, City",0585697667,customer40@example.com,Regular customer,Sedan,XOM-5929
41,Customer 41,"Pham Van Dong, City",0744593731,customer41@example.com,Regular customer,Motorcycle 150cc,MQH-9645
42,Customer 42,"Duong Nguyen Huu Canh, City",0720996063,customer42@example.com,Regular customer,Motorcycle 150cc,APD-0164
43,Customer 43,"Nguyen Tri Phuong, City",0689299253,customer43@example.com,Regular customer,Sedan,HFY-1624
44,Customer 44,"Xa Lo Ha Noi, City",0983158072,customer44@example.com,Regular customer,Pickup Truck,OOX-2113
45,Customer 45,"Pham Van Dong, City",0147187809,customer45@example.com,Regular customer,Light Truck,WOS-6098
46,Customer 46,"Duong Vo Van Kiet, City",0217615084,customer46@example.com,Regular customer,Light Truck,QEU-4084
47,Customer 47,"Duong Nam Ky Khoi Nghia, City",0935508759,customer47@example.com,Regular customer,Motorcycle 125cc,HTK-0794
48,Customer 48,"Cach Mang Thang Tam, City",0776017034,customer48@example.com,Regular customer,Motorcycle 150cc,FJT-8788
49,Customer 49,"Thong Nhat, City",0966703868,customer49@example.com,Regular customer,Light Truck,JAB-9562
50,Customer 50,"Duong Hai Ba Trung, City",0246426174,customer50@example.com,Regular customer,Motorcycle 125cc,CJV-1139
51,Customer 51,"An Duong Vuong, City",0991208257,customer51@example.com,Regular customer,Motorcycle 250cc,TJT-0123
52,Customer 52,"Nguyen Tri Phuong, City",0156449550,customer52@example.com,Regular customer,Motorcycle 125cc,PHU-8770
53,Customer 53,"Duong Cach Mang Thang Tam, City",0261762817,customer53@example.com,Regular customer,SUV,IKM-0870
54,Customer 54,"Duong Hai Ba Trung, City",0706434634,customer54@example.com,Regular customer,Motorcycle 110cc,SVB-8646
55,Customer 55,"Duong Ton Duc Thang, City",0572239285,customer55@example.com,Regular customer,Light Truck,XRK-3841
56,Customer 56,"Duong Tran Hung Dao, City",0721367633,customer56@example.com,Regular customer,Motorcycle 125cc,MVT-5553
57,Customer 57,"Duong Le Duan, City",0474326780,customer57@example.com,Regular customer,Motorcycle 150cc,PNJ-3048
58,Customer 58,"Bach Dang, City",0916040469,customer58@example.com,Regular customer,Motorcycle 125cc,WME-9245
59,Customer 59,"Ky Con, City",0487649204,customer59@example.com,Regular customer,Motorcycle 150cc,XSC-8624
60,Customer 60,"Duong Nguyen Van Cu, City",0971380640,customer60@example.com,Regular customer,Motorcycle 150cc,CCN-7191
61,Customer 61,"Xo Viet Nghe Tinh, City",0389875307,customer61@example.com,Regular customer,Motorcycle 150cc,ITT-4490
62,Customer 62,"Nam Ky Khoi Nghia, City",0596688572,customer62@example.com,Regular customer,Motorcycle 110cc,VNW-8109
63,Customer 63,"Xo Viet Nghe Tinh, City",0513624540,customer63@example.com,Regular customer,Light Truck,HHQ-9117
64,Customer 64,"Nguyen Tat Thanh, City",0150184786,customer64@example.com,Regular customer,Motorcycle 50cc,WJO-9092
65,Customer 65,"Nguyen Thi Thap, City",0870298133,customer65@example.com,Regular customer,SUV,IMD-4946
66,Customer 66,"Ky Con, City",0638046383,customer66@example.com,Regular customer,Motorcycle 150cc,LCY-7783
67,Customer 67,"Phan Van Tri, City",0983507883,customer67@example.com,Regular customer,Motorcycle 125cc,UEP-9232
68,Customer 68,"Le Van Khuong, City",0574877194,customer68@example.com,Regular customer,Motorcycle 250cc,SWQ-7443
69,Customer 69,"Pham Van Dong, City",0546680046,customer69@example.com,Regular customer,Light Truck,WBQ-0171
70,Customer 70,"Duong Nguyen Thi Minh Khai, City",0348509813,customer70@example.com,Regular customer,Sedan,ZUU-8126
71,Customer 71,"Duong Nam Ky Khoi Nghia, City",0846371061,customer71@example.com,Regular customer,Light Truck,ZUW-6143
72,Customer 72,"Nam Ky Khoi Nghia, City",0550701623,customer72@example.com,Regular customer,Motorcycle 150cc,JGR-6250
73,Customer 73,"Duong Le Loi, City",0321839435,customer73@example.com,Regular customer,Motorcycle 250cc,GFW-3206
74,Customer 74,"Tran Hung Dao, City",0611938093,customer74@example.com,Regular customer,Motorcycle 50cc,IPH-5036
75,Customer 75,"Duong Hung Vuong, City",0479802009,customer75@example.com,Regular customer,Motorcycle 150cc,JIR-7329
76,Customer 76,"Duong Phan Xich Long, City",0473975041,customer76@example.com,Regular customer,Sedan,DGK-6888
77,Customer 77,"Vo Van Ngan, City",0238387910,customer77@example.com,Regular customer,Motorcycle 125cc,KST-3493
78,Customer 78,"Thong Nhat, City",0570973370,customer78@example.com,Regular customer,Motorcycle 110cc,SMC-4152
79,Customer 79,"Duong Dien Bien Phu, City",0105719251,customer79@example.com,Regular customer,Motorcycle 150cc,TAK-9557
80,Customer 80,"Duong Nguyen Van Cu, City",0344279845,customer80@example.com,Regular customer,Motorcycle 110cc,ZGM-3797
81,Customer 81,"Nguyen Dinh Chieu, City",0217403183,customer81@example.com,Regular customer,Sedan,PYL-6794
82,Customer 82,"Xo Viet Nghe Tinh, City",0845112129,customer82@example.com,Regular customer,Sedan,VCJ-3970
83,Customer 83,"Nguyen Cong Tru, City",0503364317,customer83@example.com,Regular customer,Sedan,PTD-7413
84,Customer 84,"An Duong Vuong, City",0545735999,customer84@example.com,Regular customer,Motorcycle 50cc,LIW-0298
85,Customer 85,"Duong Nam Ky Khoi Nghia, City",0153699027,customer85@example.com,Regular customer,Sedan,KBJ-2543
86,Customer 86,"Duong Cach Mang Thang Tam, City",0867115181,customer86@example.com,Regular customer,Sedan,XQS-3252
87,Customer 87,"Ham Nghi, City",0352349528,customer87@example.com,Regular customer,Motorcycle 50cc,RZX-7727
88,Customer 88,"Duong Nguyen Hue, City",0676443385,customer88@example.com,Regular customer,Motorcycle 125cc,JVG-1875
89,Customer 89,"Nguyen Thi Thap, City",0506019113,customer89@example.com,Regular customer,Pickup Truck,WEZ-0612
90,Customer 90,"Nguyen Tat Thanh, City",0921890511,customer90@example.com,Regular customer,Motorcycle 150cc,ORZ-7196
91,Customer 91,"Nguyen Cong Tru, City",0761433283,customer91@example.com,Regular customer,Motorcycle 110cc,XXL-5698
92,Customer 92,"Tran Hung Dao, City",0927223517,customer92@example.com,Regular customer,Sedan,LRI-5214
93,Customer 93,"Duong Vo Thi Sau, City",0946794423,customer93@example.com,Regular customer,Motorcycle 50cc,HXP-8690
94,Customer 94,"Nguyen Cong Tru, City",0986261457,customer94@example.com,Regular customer,Motorcycle 125cc,XAB-6720
95,Customer 95,"Xa Lo Ha Noi, City",0946336828,customer95@example.com,Regular customer,Motorcycle 250cc,FHS-8834
96,Customer 96,"Duong Le Thanh Ton, City",0983282389,customer96@example.com,Regular customer,Pickup Truck,YDQ-1020
97,Customer 97,"Duong Vo Thi Sau, City",0276131493,customer97@example.com,Regular customer,Motorcycle 250cc,KHJ-3599
98,Customer 98,"Nguyen Tat Thanh, City",0448842633,customer98@example.com,Regular customer,Sedan,GFK-9893
