EmployeeID,EmployeeName,Position,GasStationID,PhoneNumber,Email,StartDate,Address
1,Employee 1,Maintenance,96,0747753713,employee1@example.com,2023-04-29,"Duong Hai Ba Trung, City"
2,Employee 2,Pump Attendant,41,0522720047,employee2@example.com,2023-12-31,"Tran Quoc Toan, City"
3,Employee 3,Maintenance,80,0468803752,employee3@example.com,2023-07-02,"Nguyen Tat Thanh, City"
4,Employee 4,Maintenance,30,0342075744,employee4@example.com,2023-05-14,"Duong Bui Vien, City"
5,Employee 5,Manager,94,0832841347,employee5@example.com,2024-01-15,"Vo Van Ngan, City"
6,Employee 6,Pump Attendant,71,0163008456,employee6@example.com,2024-03-13,"Ly Thai To, City"
7,Employee 7,Cashier,41,0378531251,employee7@example.com,2023-05-02,"Kinh Duong Vuong, City"
8,Employee 8,Maintenance,5,0514921083,employee8@example.com,2024-03-08,"Le Van Khuong, City"
9,Employee 9,Maintenance,51,0413302883,employee9@example.com,2023-06-28,"Duong Bui Vien, City"
10,Employee 10,Cashier,59,0931197959,employee10@example.com,2023-05-26,"Duong Ton Duc Thang, City"
11,Employee 11,Manager,8,0314041654,employee11@example.com,2023-10-04,"Cach Mang Thang Tam, City"
12,Employee 12,Manager,78,0943047880,employee12@example.com,2023-05-15,"Xo Viet Nghe Tinh, City"
13,Employee 13,Manager,7,0678417236,employee13@example.com,2023-08-07,"Duong Bui Vien, City"
14,Employee 14,Maintenance,48,0682452202,employee14@example.com,2023-11-19,"Ly Thai To, City"
15,Employee 15,Manager,97,0220521157,employee15@example.com,2023-07-23,"Duong Tran Quoc Thao, City"
16,Employee 16,Pump Attendant,64,0210939658,employee16@example.com,2023-12-05,"Ha Huy Giap, City"
17,Employee 17,Maintenance,61,0862952634,employee17@example.com,2023-05-05,"Nguyen Hue, City"
18,Employee 18,Maintenance,84,0749889643,employee18@example.com,2023-08-19,"Nguyen Tat Thanh, City"
19,Employee 19,Cashier,55,0924948378,employee19@example.com,2023-05-21,"Ky Con, City"
20,Employee 20,Manager,38,0670817473,employee20@example.com,2023-05-04,"Dai Lo Dong Tay, City"
21,Employee 21,Cashier,37,0615458985,employee21@example.com,2023-11-20,"Duong Pasteur, City"
22,Employee 22,Cashier,92,0943443028,employee22@example.com,2024-02-10,"Le Van Sy, City"
23,Employee 23,Maintenance,40,0363127189,employee23@example.com,2023-07-20,"Bach Dang, City"
24,Employee 24,Maintenance,49,0520299370,employee24@example.com,2023-07-08,"Duong Dien Bien Phu, City"
25,Employee 25,Pump Attendant,87,0869536149,employee25@example.com,2023-08-01,"Duong Bui Vien, City"
26,Employee 26,Cashier,10,0703794978,employee26@example.com,2023-11-26,"Duong Pasteur, City"
27,Employee 27,Pump Attendant,18,0111259664,employee27@example.com,2024-03-19,"Phan Van Tri, City"
28,Employee 28,Pump Attendant,26,0498552769,employee28@example.com,2023-06-29,"Cau Sai Gon, City"
29,Employee 29,Cashier,89,0705008469,employee29@example.com,2023-08-18,"Ly Thai To, City"
30,Employee 30,Manager,86,0269091703,employee30@example.com,2023-06-02,"Tran Quoc Toan, City"
31,Employee 31,Pump Attendant,3,0202286463,employee31@example.com,2023-05-27,"Duong Truong Dinh, City"
32,Employee 32,Pump Attendant,37,0363858709,employee32@example.com,2023-05-22,"Ly Thai To, City"
33,Employee 33,Manager,88,0477752621,employee33@example.com,2024-02-17,"Duong Cach Mang Thang Tam, City"
34,Employee 34,Pump Attendant,86,0619416553,employee34@example.com,2023-07-02,"Xa Lo Ha Noi, City"
35,Employee 35,Manager,30,0321232560,employee35@example.com,2024-02-15,"Nguyen Dinh Chieu, City"
36,Employee 36,Cashier,76,0793895511,employee36@example.com,2023-11-21,"Duong Tran Hung Dao, City"
37,Employee 37,Pump Attendant,66,0232711699,employee37@example.com,2023-07-06,"Phan Van Tri, City"
38,Employee 38,Cashier,57,0640007707,employee38@example.com,2023-05-25,"Duong Nguyen Hue, City"
39,Employee 39,Maintenance,45,0851841275,employee39@example.com,2023-10-30,"Tran Nao, City"
40,Employee 40,Maintenance,78,0894460124,employee40@example.com,2023-08-02,"Duong Le Thanh Ton, City"
41,Employee 41,Cashier,91,0538696551,employee41@example.com,2023-09-20,"Tran Nao, City"
42,Employee 42,Maintenance,82,0791973374,employee42@example.com,2023-05-28,"Xo Viet Nghe Tinh, City"
43,Employee 43,Cashier,79,0394095742,employee43@example.com,2024-02-24,"Hong Bang, City"
44,Employee 44,Maintenance,14,0864981253,employee44@example.com,2023-07-27,"Nguyen Dinh Chieu, City"
45,Employee 45,Maintenance,66,0338690304,employee45@example.com,2023-12-31,"Duong Phan Xich Long, City"
46,Employee 46,Cashier,4,0770815809,employee46@example.com,2023-11-05,"Duong Cach Mang Thang Tam, City"
47,Employee 47,Pump Attendant,96,0744993574,employee47@example.com,2024-02-21,"Phan Van Tri, City"
48,Employee 48,Pump Attendant,57,0955090196,employee48@example.com,2023-12-25,"Ly Thai To, City"
49,Employee 49,Manager,19,0806932115,employee49@example.com,2024-02-14,"Duong Le Loi, City"
50,Employee 50,Cashier,97,0518686066,employee50@example.com,2023-05-05,"Duong Tran Quoc Thao, City"
51,Employee 51,Cashier,67,0694546387,employee51@example.com,2024-01-19,"Ly Thai To, City"
52,Employee 52,Pump Attendant,50,0189389763,employee52@example.com,2024-02-29,"Tran Quoc Toan, City"
53,Employee 53,Maintenance,58,0863688942,employee53@example.com,2023-08-04,"Duong Nam Ky Khoi Nghia, City"
