CustomerID,CustomerName,Address,PhoneNumber,Email,Notes,VehicleTypeName,LicensePlate
1,Customer 1,"Nguyen Cong Tru, City",713835327,customer1@example.com,Regular customer,Sedan,HVO-5586
2,Customer 2,"Duong Nguyen Hue, City",297734660,customer2@example.com,Regular customer,Pickup Truck,GUK-1246
3,Customer 3,"Phan Van Tri, City",830444460,customer3@example.com,Regular customer,Motorcycle 50cc,SRZ-9715
4,Customer 4,"Nguyen Hue, City",921031369,customer4@example.com,Regular customer,Motorcycle 110cc,IAK-2233
5,Customer 5,"Nguyen Cong Tru, City",843784783,customer5@example.com,Regular customer,Motorcycle 250cc,AFY-4289
6,Customer 6,"Duong Dien Bien Phu, City",988417604,customer6@example.com,Regular customer,Light Truck,GIG-3662
7,Customer 7,"An Duong Vuong, City",217016611,customer7@example.com,Regular customer,Motorcycle 50cc,OLK-2437
8,Customer 8,"Nguyen Tat Thanh, City",715809869,customer8@example.com,Regular customer,Pickup Truck,YBP-1670
9,Customer 9,"Xa Lo Ha Noi, City",997369486,customer9@example.com,Regular customer,Motorcycle 250cc,MRG-7933
10,Customer 10,"Vo Van Ngan, City",843016381,customer10@example.com,Regular customer,SUV,HWR-9248
11,Customer 11,"Duong Pham Ngoc Thach, City",854327593,customer11@example.com,Regular customer,Motorcycle 50cc,ZNW-2419
12,Customer 12,"Duong Pasteur, City",348240012,customer12@example.com,Regular customer,Motorcycle 150cc,BBM-8408
13,Customer 13,"Duong Hai Ba Trung, City",295954417,customer13@example.com,Regular customer,Pickup Truck,UUG-3971
14,Customer 14,"Xo Viet Nghe Tinh, City",834448837,customer14@example.com,Regular customer,Motorcycle 250cc,ZES-4033
15,Customer 15,"Xa Lo Ha Noi, City",183619754,customer15@example.com,Regular customer,Motorcycle 150cc,UDK-0705
16,Customer 16,"Ha Huy Giap, City",583854762,customer16@example.com,Regular customer,Motorcycle 110cc,IED-1122
17,Customer 17,"Le Van Sy, City",149749163,customer17@example.com,Regular customer,Motorcycle 150cc,WXB-5454
