EmployeeID,EmployeeName,Position,GasStationID,PhoneNumber,Email,StartDate,Address
8,Employee 8,Maintenance,5,514921083,employee8@example.com,2024-03-08,"Le Van Khuong, City"
11,Employee 11,Manager,8,314041654,employee11@example.com,2023-10-04,"Cach Mang Thang Tam, City"
13,Employee 13,Manager,7,678417236,employee13@example.com,2023-08-07,"Duong Bui Vien, City"
26,Employee 26,Cashier,10,703794978,employee26@example.com,2023-11-26,"Duong Pasteur, City"
31,Employee 31,Pump Attendant,3,202286463,employee31@example.com,2023-05-27,"Duong Truong Dinh, City"
46,Employee 46,Cashier,4,770815809,employee46@example.com,2023-11-05,"Duong Cach Mang Thang Tam, City"
54,Employee 54,Manager,1,636887774,employee54@example.com,2023-05-30,"Cau Sai Gon, City"
58,Employee 58,Maintenance,6,995535218,employee58@example.com,2023-12-07,"Le Lai, City"
69,Employee 69,Pump Attendant,4,207468185,employee69@example.com,2023-10-07,"Duong Truong Dinh, City"
71,Employee 71,Manager,8,131772064,employee71@example.com,2023-09-01,"Nguyen Hong, City"
91,Employee 91,Manager,2,492377813,employee91@example.com,2024-02-16,"Cach Mang Thang Tam, City"
111,Employee 111,Pump Attendant,6,683455852,employee111@example.com,2024-02-07,"Duong Hung Vuong, City"
112,Employee 112,Maintenance,8,114912682,employee112@example.com,2023-05-07,"Duong Nguyen Huu Canh, City"
139,Employee 139,Manager,4,113188563,employee139@example.com,2023-05-11,"Tran Nao, City"
146,Employee 146,Cashier,5,353009836,employee146@example.com,2024-01-28,"Duong Nguyen Huu Canh, City"
147,Employee 147,Manager,9,320087346,employee147@example.com,2023-11-07,"Le Van Khuong, City"
157,Employee 157,Maintenance,8,612718495,employee157@example.com,2023-04-22,"Cau Sai Gon, City"
161,Employee 161,Manager,6,775874357,employee161@example.com,2023-08-11,"Nguyen Hue, City"
186,Employee 186,Manager,9,405318557,employee186@example.com,2024-02-27,"Duong Le Duan, City"
190,Employee 190,Maintenance,5,477567017,employee190@example.com,2023-10-13,"Ky Con, City"
193,Employee 193,Maintenance,8,457810289,employee193@example.com,2024-01-16,"Pham Van Dong, City"
194,Employee 194,Manager,10,436416105,employee194@example.com,2023-04-11,"Duong Phan Xich Long, City"
202,Employee 202,Pump Attendant,2,952259090,employee202@example.com,2024-03-29,"Phan Van Tri, City"
205,Employee 205,Maintenance,6,348087193,employee205@example.com,2024-01-02,"Duong Hung Vuong, City"
216,Employee 216,Cashier,3,359957523,employee216@example.com,2023-12-19,"Nguyen Dinh Chieu, City"
221,Employee 221,Manager,5,800538760,employee221@example.com,2023-06-10,"Nam Ky Khoi Nghia, City"
251,Employee 251,Manager,7,163104546,employee251@example.com,2023-10-08,"Tran Xuan Soan, City"
257,Employee 257,Pump Attendant,2,368385799,employee257@example.com,2023-07-17,"Duong Nguyen Huu Canh, City"
258,Employee 258,Cashier,3,328918890,employee258@example.com,2023-10-05,"Le Lai, City"
262,Employee 262,Maintenance,7,765005679,employee262@example.com,2024-01-30,"Duong Le Thanh Ton, City"
275,Employee 275,Cashier,6,337429428,employee275@example.com,2023-06-06,"Le Van Khuong, City"
295,Employee 295,Manager,2,419264888,employee295@example.com,2023-07-18,"Duong Bui Vien, City"
297,Employee 297,Manager,6,981178943,employee297@example.com,2023-12-26,"Duong Cach Mang Thang Tam, City"
299,Employee 299,Cashier,3,299525971,employee299@example.com,2023-06-15,"Phan Van Tri, City"
302,Employee 302,Pump Attendant,2,185845174,employee302@example.com,2023-06-12,"Phan Van Tri, City"
305,Employee 305,Cashier,1,505913877,employee305@example.com,2023-09-20,"Duong Hai Ba Trung, City"
312,Employee 312,Manager,6,440420413,employee312@example.com,2023-08-27,"Tran Xuan Soan, City"
319,Employee 319,Pump Attendant,5,907238364,employee319@example.com,2023-06-12,"Bach Dang, City"
322,Employee 322,Manager,8,623095722,employee322@example.com,2023-04-19,"Duong Vo Van Kiet, City"
331,Employee 331,Cashier,7,997612677,employee331@example.com,2024-02-16,"Tran Nao, City"
332,Employee 332,Pump Attendant,8,668790198,employee332@example.com,2024-03-02,"Le Van Sy, City"
343,Employee 343,Cashier,7,721263898,employee343@example.com,2023-05-07,"Duong Nguyen Tri Phuong, City"
345,Employee 345,Manager,2,907264828,employee345@example.com,2023-12-24,"Duong Pasteur, City"
376,Employee 376,Manager,3,718503722,employee376@example.com,2024-04-01,"Duong Pasteur, City"
378,Employee 378,Manager,7,487393029,employee378@example.com,2023-08-02,"Nguyen Tat Thanh, City"
382,Employee 382,Pump Attendant,8,895187789,employee382@example.com,2024-01-05,"Tran Quoc Toan, City"
448,Employee 448,Pump Attendant,2,179752704,employee448@example.com,2024-01-22,"Cach Mang Thang Tam, City"
472,Employee 472,Cashier,5,901758166,employee472@example.com,2024-01-16,"Duong Vo Thi Sau, City"
480,Employee 480,Manager,4,346760701,employee480@example.com,2023-05-19,"Nam Ky Khoi Nghia, City"
481,Employee 481,Cashier,6,672595202,employee481@example.com,2023-07-15,"Duong Phan Xich Long, City"
490,Employee 490,Pump Attendant,7,477881339,employee490@example.com,2024-03-29,"Duong Nguyen Van Cu, City"
